id,project_name,site_name,country,latitude,longitude,raw_year,year,outbreak,outbreak__color
0.ANT1a_42013,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT1b_CMCC49003,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT1c_945,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT1d_164,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT1e_CMCC8211,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT1f_42095,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT1g_CMCC42007,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT1h_CMCC43032,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT2_B42003004,Eppinger2009,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT2a_2330,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT3_231,Eroshenko2017,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.ANT3_790,Zhgenti2015,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.ANT3_A-1486,Eroshenko2017,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.ANT3a_CMCC38001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT3b_A1956001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT3c_42082,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT3d_CMCC21106,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT3e_42091b,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.ANT5_262,Kutyrev2018,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.ANT5_5M,Kutyrev2018,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.ANT5_A-1691,Eroshenko2017,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.ANT5_A-1836,Eroshenko2017,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.PE2_1412,Zhgenti2015,NA,georgia,32.3293809,-83.1137365,2021,0,Modern,Red
0.PE2_1413,Zhgenti2015,NA,georgia,32.3293809,-83.1137365,2021,0,Modern,Red
0.PE2_14735,Zhgenti2015,NA,armenia,40.18111,44.51361,2021,0,Modern,Red
0.PE2_1522,Zhgenti2015,NA,armenia,40.18111,44.51361,2021,0,Modern,Red
0.PE2_1670,Zhgenti2015,NA,georgia,32.3293809,-83.1137365,2021,0,Modern,Red
0.PE2_3067,Zhgenti2015,NA,georgia,32.3293809,-83.1137365,2021,0,Modern,Red
0.PE2_3544,Kutyrev2018,NA,armenia,40.18111,44.51361,2021,0,Modern,Red
0.PE2_3551,Kutyrev2018,NA,armenia,40.18111,44.51361,2021,0,Modern,Red
0.PE2_3770,Zhgenti2015,NA,georgia,32.3293809,-83.1137365,2021,0,Modern,Red
0.PE2_835_BPC,Kutyrev2018,NA,armenia,40.18111,44.51361,2021,0,Modern,Red
0.PE2_8787,Zhgenti2015,NA,georgia,32.3293809,-83.1137365,2021,0,Modern,Red
0.PE2_C-197,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-235,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-267,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-290,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-291,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-346,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-359,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-370,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-535,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-537,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-590,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-666,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE2_C-678,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-700,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-712,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-739,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-741,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-746,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_C-824,Kislichkina2017,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE2_KM874,Kutyrev2018,NA,armenia,40.18111,44.51361,2021,0,Modern,Red
0.PE2_M-986,Kutyrev2018,NA,armenia,40.18111,44.51361,2021,0,Modern,Red
0.PE2_PEST-F,Garcia2007,NA,unknown,0,0,2021,0,Modern,Red
0.PE2b_G8786,Cui2013,NA,georgia,32.3293809,-83.1137365,2021,0,Modern,Red
0.PE4_5307-Gis,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE4_A-1804,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE4_A-1807,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE4_A-513,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE4_I-3134,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE4_I-3442,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3443,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3446,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3447,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3455,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE4_I-3515,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3516,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3517,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3518,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3519,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_M0000002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4_Microtus91001,Song2004,NA,china,35.000074,104.999927,2021,0,Modern,Red
